seq_name	length	topology	n_genes	genetic_code	plasmid_score	fdr	n_hallmarks	marker_enrichment	conjugation_genes	amr_genes
contig_52901	3703	No terminal repeats	3	11	0.8890	NA	0	0.0000	NA	NA
contig_80136	3442	No terminal repeats	8	11	0.8890	NA	0	0.0000	NA	NA
contig_90815	3106	No terminal repeats	7	11	0.8890	NA	0	0.0000	NA	NA
contig_109283	14801	No terminal repeats	22	11	0.8890	NA	0	0.0000	NA	NA
contig_87161	6723	No terminal repeats	8	11	0.8889	NA	0	0.0000	NA	NA
contig_98286	13768	No terminal repeats	16	11	0.8889	NA	0	0.0000	NA	NA
contig_135091	26334	No terminal repeats	38	11	0.8888	NA	0	0.0000	NA	NA
contig_124133	12749	No terminal repeats	9	11	0.8887	NA	0	0.0000	NA	NA
contig_82440	10824	No terminal repeats	14	11	0.8886	NA	0	0.1148	NA	NA
contig_72475	7677	No terminal repeats	12	11	0.8885	NA	0	0.0000	NA	NA
contig_123086	16493	No terminal repeats	24	11	0.8885	NA	0	0.0000	NA	NA
contig_82700	7850	No terminal repeats	11	11	0.8885	NA	0	0.0000	NA	NA
contig_66060	7705	No terminal repeats	13	11	0.8885	NA	0	0.0000	NA	NA
contig_69203	6635	No terminal repeats	6	11	0.8885	NA	0	0.0000	NA	NA
contig_135705	5956	No terminal repeats	9	11	0.8885	NA	0	0.0000	NA	NA
contig_126213	17506	No terminal repeats	22	11	0.8884	NA	0	0.0000	NA	NA
contig_103310	4727	No terminal repeats	10	11	0.8884	NA	0	0.0000	NA	NA
contig_127094	7233	No terminal repeats	5	11	0.8884	NA	0	0.0000	NA	NA
contig_99794	2712	ITR	2	11	0.8883	NA	0	0.0000	NA	NA
contig_89829	12258	No terminal repeats	10	11	0.8883	NA	0	0.0000	NA	NA
contig_90968	13917	No terminal repeats	16	11	0.8883	NA	0	0.0000	NA	NA
contig_109495	23810	No terminal repeats	34	11	0.8883	NA	0	0.0000	NA	NA
contig_79259	6023	No terminal repeats	9	11	0.8882	NA	0	0.0000	NA	NA
contig_136812	2946	No terminal repeats	2	11	0.8882	NA	0	0.0000	NA	NA
contig_95716	4966	No terminal repeats	6	11	0.8882	NA	0	0.0000	NA	NA
contig_109713	18381	No terminal repeats	28	11	0.8881	NA	0	0.0000	NA	NA
contig_81309	14201	No terminal repeats	17	11	0.8880	NA	0	0.0000	NA	NA
contig_86478	13852	No terminal repeats	21	11	0.8879	NA	0	0.0000	NA	NA
contig_79974	8496	No terminal repeats	13	11	0.8878	NA	0	0.0000	NA	NA
contig_121040	10523	No terminal repeats	13	11	0.8878	NA	0	0.0000	NA	NA
contig_122314	15146	No terminal repeats	20	11	0.8878	NA	0	0.2622	NA	NA
contig_90766	5476	No terminal repeats	6	11	0.8878	NA	0	0.0000	NA	NA
contig_71167	15555	No terminal repeats	13	11	0.8878	NA	0	0.0000	NA	NA
contig_85663	18993	No terminal repeats	15	11	0.8877	NA	0	0.0000	NA	NA
contig_52938	6935	No terminal repeats	5	11	0.8877	NA	0	0.0000	NA	NA
contig_92938	4791	No terminal repeats	6	11	0.8876	NA	0	0.0000	NA	NA
contig_40674	7622	No terminal repeats	5	11	0.8876	NA	0	0.0000	NA	NA
contig_104349	6455	No terminal repeats	8	11	0.8875	NA	0	0.0000	NA	NA
contig_95288	28232	No terminal repeats	37	11	0.8874	NA	0	0.0000	NA	NA
contig_60008	8219	No terminal repeats	9	11	0.8874	NA	0	0.0000	NA	NA
contig_114188	29477	No terminal repeats	44	11	0.8873	NA	0	3.2626	NA	NA
contig_123396	20514	No terminal repeats	21	11	0.8873	NA	0	0.0000	NA	NA
contig_108604	3393	No terminal repeats	4	11	0.8873	NA	0	0.0000	NA	NA
contig_119468	13401	No terminal repeats	7	11	0.8872	NA	0	0.0000	NA	NA
contig_119663	16854	No terminal repeats	26	11	0.8871	NA	0	0.0000	NA	NA
contig_122380	6367	No terminal repeats	5	11	0.8871	NA	0	0.0000	NA	NA
contig_125693	7495	No terminal repeats	7	11	0.8870	NA	0	0.0000	NA	NA
contig_96474	7096	No terminal repeats	19	11	0.8870	NA	0	0.0000	NA	NA
contig_97124	4539	No terminal repeats	5	11	0.8870	NA	0	0.0000	NA	NA
contig_111749	13281	No terminal repeats	20	11	0.8870	NA	0	0.0000	NA	NA
contig_105752	6547	No terminal repeats	6	11	0.8869	NA	0	0.0000	NA	NA
contig_106574	5120	No terminal repeats	4	11	0.8869	NA	0	0.0000	NA	NA
contig_111873	6768	No terminal repeats	5	11	0.8868	NA	0	0.0000	NA	NA
contig_104172	6545	No terminal repeats	8	11	0.8868	NA	0	0.0000	NA	NA
contig_79081	2586	No terminal repeats	5	11	0.8868	NA	0	0.0000	NA	NA
contig_70394	30062	No terminal repeats	24	11	0.8868	NA	0	0.0000	NA	NA
contig_81428	7634	No terminal repeats	6	11	0.8868	NA	0	0.0000	NA	NA
contig_94517	5777	No terminal repeats	5	11	0.8867	NA	0	0.0000	NA	NA
contig_96972	26388	No terminal repeats	17	11	0.8867	NA	0	0.0000	NA	NA
contig_86940	7928	No terminal repeats	11	11	0.8867	NA	0	0.0000	NA	NA
contig_127958	5835	No terminal repeats	10	11	0.8867	NA	0	0.0000	NA	NA
contig_125886	12355	No terminal repeats	9	11	0.8867	NA	0	0.0000	NA	NA
contig_73141	2564	No terminal repeats	3	15	0.8866	NA	0	0.0000	NA	NA
contig_93474	7445	No terminal repeats	13	11	0.8866	NA	0	0.0000	NA	NA
contig_108032	5884	No terminal repeats	10	11	0.8866	NA	0	0.0000	NA	NA
contig_118294	11416	No terminal repeats	19	11	0.8866	NA	0	0.0000	NA	NA
contig_87365	7942	No terminal repeats	12	11	0.8866	NA	0	0.0000	NA	NA
contig_87431	3140	No terminal repeats	3	11	0.8865	NA	0	0.0000	NA	NA
contig_104805	11553	No terminal repeats	13	11	0.8863	NA	0	0.0000	NA	NA
contig_64057	6678	No terminal repeats	3	11	0.8863	NA	0	0.0000	NA	NA
contig_133850	7298	No terminal repeats	11	11	0.8863	NA	0	0.0000	NA	NA
contig_106970	9257	No terminal repeats	3	11	0.8863	NA	0	0.0000	NA	NA
contig_122147	6094	No terminal repeats	5	11	0.8863	NA	0	0.0000	NA	NA
contig_83579	20363	No terminal repeats	24	11	0.8862	NA	0	0.0000	NA	NA
contig_118699	7556	No terminal repeats	6	11	0.8862	NA	0	0.0000	NA	NA
contig_122109	11980	No terminal repeats	19	11	0.8862	NA	0	0.0000	NA	NA
contig_74784	10242	No terminal repeats	14	11	0.8862	NA	0	0.0000	NA	NA
contig_120895	7457	No terminal repeats	8	11	0.8861	NA	0	0.0000	NA	NA
contig_120407	29764	No terminal repeats	40	11	0.8860	NA	0	0.0000	NA	NA
contig_70162	13844	No terminal repeats	19	11	0.8860	NA	0	0.0000	NA	NA
contig_118390	3783	No terminal repeats	8	11	0.8859	NA	0	0.3917	NA	NA
contig_124703	16904	No terminal repeats	20	11	0.8859	NA	0	0.0000	NA	NA
contig_123464	7054	No terminal repeats	5	11	0.8858	NA	0	0.0000	NA	NA
contig_119259	16950	No terminal repeats	20	11	0.8858	NA	0	0.0000	NA	NA
contig_125455	9939	No terminal repeats	14	11	0.8857	NA	0	0.0000	NA	NA
contig_134644	7721	No terminal repeats	7	11	0.8857	NA	0	0.0000	NA	NA
contig_62840	3449	No terminal repeats	4	11	0.8857	NA	0	0.0000	NA	NA
contig_134979	15533	No terminal repeats	21	11	0.8857	NA	0	0.0000	NA	NA
contig_94911	7642	No terminal repeats	8	11	0.8856	NA	0	0.0000	NA	NA
contig_134298	5977	No terminal repeats	8	11	0.8856	NA	0	0.0000	NA	NA
contig_87029	15781	No terminal repeats	14	11	0.8856	NA	0	0.0000	NA	NA
contig_126296	8649	No terminal repeats	9	11	0.8856	NA	0	0.0000	NA	NA
contig_72133	15678	No terminal repeats	13	11	0.8855	NA	0	0.0000	NA	NA
contig_75732	15595	No terminal repeats	20	11	0.8855	NA	0	0.0000	NA	NA
contig_119856	5709	No terminal repeats	10	11	0.8855	NA	0	0.0000	NA	NA
contig_54445	6129	No terminal repeats	2	11	0.8854	NA	0	0.0000	NA	NA
contig_127471	16639	No terminal repeats	19	11	0.8854	NA	0	0.0000	NA	NA
contig_103639	5256	No terminal repeats	4	15	0.8854	NA	0	0.0000	NA	NA
contig_101214	22201	No terminal repeats	34	11	0.8854	NA	0	0.0000	NA	NA
contig_78070	3937	No terminal repeats	4	11	0.8854	NA	0	0.0000	NA	NA
contig_127148	15074	No terminal repeats	18	11	0.8854	NA	0	0.0000	NA	NA
contig_72585	5513	No terminal repeats	7	11	0.8853	NA	0	0.0000	NA	NA
contig_106119	2973	No terminal repeats	5	11	0.8853	NA	0	0.0000	NA	NA
contig_119863	6997	No terminal repeats	6	11	0.8853	NA	0	0.0000	NA	NA
contig_128056	10518	No terminal repeats	10	11	0.8853	NA	0	0.0000	NA	NA
contig_127907	4129	No terminal repeats	9	11	0.8853	NA	0	0.0000	NA	NA
contig_125832	6040	No terminal repeats	7	11	0.8853	NA	0	0.0000	NA	NA
contig_126542	10835	No terminal repeats	13	11	0.8853	NA	0	0.0000	NA	NA
contig_110971	7064	No terminal repeats	8	11	0.8853	NA	0	0.0000	NA	NA
contig_134982	6002	No terminal repeats	5	11	0.8853	NA	0	0.0000	NA	NA
contig_97439	6396	No terminal repeats	11	11	0.8853	NA	0	0.0000	NA	NA
contig_65036	7898	No terminal repeats	9	11	0.8853	NA	0	0.0000	NA	NA
contig_90473	13110	No terminal repeats	16	11	0.8852	NA	0	0.0000	NA	NA
contig_72847	6901	No terminal repeats	8	11	0.8852	NA	0	0.0000	NA	NA
contig_64321	28882	No terminal repeats	31	11	0.8852	NA	0	0.0000	NA	NA
contig_94751	6885	No terminal repeats	11	11	0.8851	NA	0	0.3011	NA	NA
contig_69724	16563	No terminal repeats	21	11	0.8850	NA	0	0.0000	NA	NA
contig_84884	7179	No terminal repeats	6	11	0.8850	NA	0	0.0000	NA	NA
contig_25686	6331	No terminal repeats	7	11	0.8850	NA	0	0.0000	NA	NA
contig_122338	27998	No terminal repeats	32	11	0.8849	NA	0	0.0000	NA	NA
contig_83115	9852	No terminal repeats	7	11	0.8849	NA	0	0.0000	NA	NA
contig_132024	8229	No terminal repeats	13	11	0.8848	NA	0	0.0000	NA	NA
contig_59671	3732	No terminal repeats	2	11	0.8848	NA	0	0.0000	NA	NA
contig_92127	12790	No terminal repeats	19	11	0.8848	NA	0	0.0000	NA	NA
contig_117107	16737	No terminal repeats	26	11	0.8848	NA	0	0.0000	NA	NA
contig_111410	2789	No terminal repeats	7	11	0.8848	NA	0	0.0000	NA	NA
contig_92681	6176	No terminal repeats	9	11	0.8847	NA	0	0.0000	NA	NA
contig_109484	13486	No terminal repeats	19	11	0.8847	NA	0	0.0000	NA	NA
contig_106298	3345	No terminal repeats	5	11	0.8847	NA	0	0.0000	NA	NA
contig_129723	3694	No terminal repeats	4	11	0.8847	NA	0	0.0000	NA	NA
contig_89934	14334	No terminal repeats	7	11	0.8847	NA	0	0.0000	NA	NA
contig_104820	5155	No terminal repeats	6	11	0.8846	NA	0	0.0000	NA	NA
contig_119819	37966	No terminal repeats	51	11	0.8845	NA	0	0.0000	NA	NA
contig_116751	13229	No terminal repeats	16	11	0.8845	NA	0	0.0000	NA	NA
contig_93019	7245	No terminal repeats	8	11	0.8845	NA	0	0.0000	NA	NA
contig_103460	13278	No terminal repeats	15	11	0.8844	NA	0	0.0000	NA	NA
contig_73067	6072	No terminal repeats	4	11	0.8844	NA	0	0.0000	NA	NA
contig_103347	3709	No terminal repeats	8	11	0.8844	NA	0	0.0000	NA	NA
contig_99057	10570	No terminal repeats	15	11	0.8844	NA	0	0.0000	NA	NA
contig_120676	7169	No terminal repeats	5	11	0.8842	NA	0	0.0000	NA	NA
contig_114487	20435	No terminal repeats	34	11	0.8842	NA	0	0.0000	NA	NA
contig_103052	5113	No terminal repeats	3	11	0.8842	NA	0	0.0000	NA	NA
contig_90373	8752	No terminal repeats	14	11	0.8841	NA	0	0.0000	NA	NA
contig_83826	3683	No terminal repeats	8	11	0.8841	NA	0	0.0000	NA	NA
contig_64223	7077	No terminal repeats	7	11	0.8841	NA	0	0.0000	NA	NA
contig_82953	32462	No terminal repeats	48	11	0.8841	NA	0	0.0000	NA	NA
contig_135273	34025	No terminal repeats	27	11	0.8841	NA	0	0.0000	NA	NA
contig_98186	16509	No terminal repeats	24	11	0.8840	NA	0	0.0000	NA	NA
contig_89926	8172	No terminal repeats	9	11	0.8839	NA	0	0.0000	NA	NA
contig_127844	3814	No terminal repeats	4	11	0.8839	NA	0	0.0000	NA	NA
contig_105583	7245	No terminal repeats	9	11	0.8839	NA	0	0.0000	NA	NA
contig_135134	4027	No terminal repeats	4	11	0.8839	NA	0	0.0000	NA	NA
contig_26354	6566	No terminal repeats	11	11	0.8839	NA	0	0.0000	NA	NA
contig_39897	18101	No terminal repeats	20	11	0.8839	NA	0	0.0000	NA	NA
contig_123597	7219	No terminal repeats	12	11	0.8838	NA	0	0.0000	NA	NA
contig_127349	30891	No terminal repeats	48	11	0.8838	NA	0	0.0000	NA	NA
contig_24953	6226	No terminal repeats	8	11	0.8838	NA	0	0.0000	NA	NA
contig_59751	7070	No terminal repeats	2	11	0.8838	NA	0	0.0000	NA	NA
contig_93985	26516	No terminal repeats	24	11	0.8838	NA	0	0.0000	NA	NA
contig_124583	5651	No terminal repeats	9	11	0.8837	NA	0	0.0000	NA	NA
contig_85906	3298	No terminal repeats	1	11	0.8836	NA	0	0.0000	NA	NA
contig_122970	4759	No terminal repeats	4	11	0.8836	NA	0	0.0000	NA	NA
contig_85369	3108	No terminal repeats	3	4	0.8836	NA	0	0.0000	NA	NA
contig_82582	6680	No terminal repeats	12	11	0.8836	NA	0	0.0000	NA	NA
contig_101356	4304	DTR	3	11	0.8836	NA	0	0.0000	NA	NA
contig_82609	43858	No terminal repeats	56	11	0.8836	NA	0	0.0000	NA	NA
contig_118300	13237	No terminal repeats	22	11	0.8835	NA	0	0.0000	NA	NA
contig_93149	7554	No terminal repeats	9	11	0.8835	NA	0	0.0000	NA	NA
contig_104359	13636	No terminal repeats	19	11	0.8834	NA	0	0.0000	NA	NA
contig_126295	3295	No terminal repeats	2	11	0.8834	NA	0	0.0000	NA	NA
contig_128308	3939	No terminal repeats	3	11	0.8834	NA	0	0.0000	NA	NA
contig_121909	36363	No terminal repeats	53	11	0.8832	NA	0	0.0000	NA	NA
contig_98706	7734	No terminal repeats	7	11	0.8832	NA	0	0.0000	NA	NA
contig_59920	10399	No terminal repeats	16	11	0.8831	NA	0	0.0000	NA	NA
contig_51144	4378	No terminal repeats	4	11	0.8831	NA	0	0.0000	NA	NA
contig_105822	4163	No terminal repeats	7	11	0.8831	NA	0	0.0000	NA	NA
contig_121179	8169	No terminal repeats	6	11	0.8831	NA	0	0.0000	NA	NA
contig_81214	10209	No terminal repeats	7	11	0.8831	NA	0	0.0000	NA	NA
contig_115329	14842	No terminal repeats	12	11	0.8831	NA	0	0.0000	NA	NA
contig_85916	3103	No terminal repeats	4	11	0.8830	NA	0	0.0000	NA	NA
contig_95659	7041	No terminal repeats	10	11	0.8830	NA	0	0.0000	NA	NA
contig_109147	4162	No terminal repeats	4	11	0.8830	NA	0	0.0000	NA	NA
contig_91783	12752	No terminal repeats	12	11	0.8830	NA	0	0.0000	NA	NA
contig_93398	5779	No terminal repeats	9	11	0.8830	NA	0	0.0000	NA	NA
contig_85823	12001	No terminal repeats	13	11	0.8830	NA	0	0.0000	NA	NA
contig_118567	19102	No terminal repeats	30	11	0.8830	NA	0	0.0000	NA	NA
contig_70551	3480	No terminal repeats	4	11	0.8829	NA	0	0.0000	NA	NA
contig_127332	11645	No terminal repeats	17	11	0.8829	NA	0	0.0000	NA	NA
contig_70969	7628	No terminal repeats	7	11	0.8828	NA	0	0.0000	NA	NA
contig_89363	8942	No terminal repeats	14	11	0.8828	NA	0	0.0000	NA	NA
contig_115855	21179	No terminal repeats	37	11	0.8828	NA	0	0.0000	NA	NA
contig_119130	5210	No terminal repeats	5	11	0.8827	NA	0	0.0000	NA	NA
contig_108177	3146	No terminal repeats	6	11	0.8827	NA	0	0.0000	NA	NA
contig_96448	5456	No terminal repeats	6	11	0.8826	NA	0	0.0000	NA	NA
contig_74352	31680	No terminal repeats	40	11	0.8826	NA	0	0.0000	NA	NA
contig_105006	18757	No terminal repeats	19	11	0.8826	NA	0	0.0000	NA	NA
contig_105829	10823	No terminal repeats	12	11	0.8826	NA	0	0.0000	NA	NA
contig_124459	9043	No terminal repeats	7	11	0.8826	NA	0	0.0000	NA	NA
contig_103255	5467	No terminal repeats	9	11	0.8825	NA	0	0.0000	NA	NA
contig_7275	2602	No terminal repeats	2	11	0.8825	NA	0	0.0000	NA	NA
contig_80512	3122	No terminal repeats	5	11	0.8824	NA	0	0.0000	NA	NA
contig_124021	22864	No terminal repeats	34	11	0.8824	NA	0	0.0000	NA	NA
contig_91582	4689	No terminal repeats	6	11	0.8824	NA	0	0.0000	NA	NA
contig_53418	4455	No terminal repeats	4	11	0.8824	NA	0	0.0000	NA	NA
contig_113475	5254	No terminal repeats	7	11	0.8823	NA	0	0.0000	NA	NA
contig_17859	3561	No terminal repeats	3	11	0.8823	NA	0	0.0000	NA	NA
contig_104118	47343	No terminal repeats	37	11	0.8820	NA	0	0.0000	NA	NA
contig_97920	7582	No terminal repeats	5	11	0.8820	NA	0	0.0000	NA	NA
contig_127142	12885	No terminal repeats	20	11	0.8819	NA	0	0.0000	NA	NA
contig_77637	8362	No terminal repeats	8	11	0.8819	NA	0	0.0000	NA	NA
contig_78167	2909	No terminal repeats	5	11	0.8819	NA	0	0.0000	NA	NA
contig_134506	18223	No terminal repeats	27	11	0.8819	NA	0	0.0000	NA	NA
contig_124107	7485	No terminal repeats	11	11	0.8818	NA	0	0.0000	NA	NA
contig_52635	16650	No terminal repeats	24	11	0.8818	NA	0	0.0000	NA	NA
contig_117233	7348	No terminal repeats	10	11	0.8818	NA	0	0.0000	NA	NA
contig_108723	31573	No terminal repeats	41	11	0.8818	NA	0	0.0000	NA	NA
contig_70599	7001	No terminal repeats	9	11	0.8817	NA	0	0.0000	NA	NA
contig_101678	4588	No terminal repeats	4	11	0.8817	NA	0	0.0000	NA	NA
contig_23946	6733	No terminal repeats	6	11	0.8817	NA	0	0.0000	NA	NA
contig_38417	5373	No terminal repeats	4	11	0.8817	NA	0	0.0000	NA	NA
contig_88298	6132	No terminal repeats	10	11	0.8816	NA	0	0.0000	NA	NA
contig_133464	3761	No terminal repeats	4	11	0.8816	NA	0	0.0000	NA	NA
contig_133900	5454	No terminal repeats	14	11	0.8816	NA	0	0.0000	NA	NA
contig_51157	5784	No terminal repeats	13	11	0.8815	NA	0	0.0000	NA	NA
contig_120190	20441	No terminal repeats	20	11	0.8815	NA	0	0.0000	NA	NA
contig_90649	6024	No terminal repeats	6	11	0.8815	NA	0	0.0000	NA	NA
contig_111109	38575	No terminal repeats	44	11	0.8815	NA	0	0.0000	NA	NA
contig_65011	12936	No terminal repeats	19	11	0.8815	NA	0	0.0000	NA	NA
contig_28903	2505	No terminal repeats	2	11	0.8815	NA	0	0.0000	NA	NA
contig_107569	7240	No terminal repeats	12	11	0.8814	NA	0	0.0000	NA	NA
contig_77120	23088	No terminal repeats	24	11	0.8814	NA	0	0.0000	NA	NA
contig_117198	31980	No terminal repeats	46	11	0.8814	NA	0	0.0000	NA	NA
contig_128124	21619	No terminal repeats	26	11	0.8813	NA	0	0.0000	NA	NA
contig_114783	55785	No terminal repeats	74	11	0.8813	NA	0	0.0000	NA	NA
contig_126496	14909	No terminal repeats	21	11	0.8813	NA	0	0.0000	NA	NA
contig_60145	18187	No terminal repeats	18	11	0.8813	NA	0	0.0000	NA	NA
contig_112152	20382	No terminal repeats	22	11	0.8813	NA	0	0.0000	NA	NA
contig_128072	4023	No terminal repeats	4	11	0.8813	NA	0	0.0000	NA	NA
contig_73436	15185	No terminal repeats	12	11	0.8812	NA	0	0.0000	NA	NA
contig_73441	2718	No terminal repeats	6	11	0.8812	NA	0	0.0000	NA	NA
contig_73066	5133	No terminal repeats	3	11	0.8811	NA	0	0.0000	NA	NA
contig_127265	8299	No terminal repeats	3	11	0.8811	NA	0	0.0000	NA	NA
contig_71039	3159	No terminal repeats	5	11	0.8810	NA	0	0.0000	NA	NA
contig_101455	9508	No terminal repeats	10	11	0.8810	NA	0	0.0000	NA	NA
contig_114543	5698	No terminal repeats	5	11	0.8809	NA	0	0.0000	NA	NA
contig_85356	3941	No terminal repeats	2	11	0.8809	NA	0	0.0000	NA	NA
contig_113645	9766	No terminal repeats	12	11	0.8809	NA	0	0.0000	NA	NA
contig_81403	10990	No terminal repeats	15	11	0.8809	NA	0	0.0000	NA	NA
contig_54535	6710	No terminal repeats	5	11	0.8809	NA	0	0.0000	NA	NA
contig_108531	47096	No terminal repeats	59	11	0.8809	NA	0	0.0000	NA	NA
contig_111611	16245	No terminal repeats	12	11	0.8808	NA	0	0.0000	NA	NA
contig_115841	12896	No terminal repeats	10	11	0.8808	NA	0	0.0000	NA	NA
contig_111744	5558	No terminal repeats	1	11	0.8808	NA	0	0.0000	NA	NA
contig_120643	14176	No terminal repeats	14	11	0.8808	NA	0	0.0000	NA	NA
contig_110525	10180	No terminal repeats	13	11	0.8807	NA	0	0.0000	NA	NA
contig_89061	8289	No terminal repeats	7	11	0.8806	NA	0	0.0000	NA	NA
contig_98024	2611	No terminal repeats	2	11	0.8806	NA	0	0.0000	NA	NA
contig_133356	3469	No terminal repeats	2	4	0.8806	NA	0	0.0000	NA	NA
contig_119190	10656	No terminal repeats	13	11	0.8806	NA	0	0.0000	NA	NA
contig_80070	9578	No terminal repeats	10	11	0.8806	NA	0	0.0000	NA	NA
contig_125498	23532	No terminal repeats	31	11	0.8805	NA	0	0.0000	NA	NA
contig_93564	4707	No terminal repeats	6	11	0.8804	NA	0	0.0000	NA	NA
contig_116761	17619	No terminal repeats	26	11	0.8804	NA	0	0.0000	NA	NA
contig_101990	5988	No terminal repeats	10	11	0.8804	NA	0	0.0000	NA	NA
contig_96988	3998	No terminal repeats	4	11	0.8804	NA	0	0.0000	NA	NA
contig_27768	6750	No terminal repeats	5	11	0.8804	NA	0	0.0000	NA	NA
contig_131833	2958	No terminal repeats	2	11	0.8803	NA	0	0.0000	NA	NA
contig_122842	11372	No terminal repeats	11	11	0.8803	NA	0	0.0000	NA	NA
contig_59222	42807	No terminal repeats	57	11	0.8803	NA	0	0.0000	NA	NA
contig_128150	11168	No terminal repeats	13	11	0.8802	NA	0	0.0000	NA	NA
contig_90760	13085	No terminal repeats	18	11	0.8802	NA	0	0.0000	NA	NA
contig_90343	4289	No terminal repeats	6	11	0.8802	NA	0	0.0000	NA	NA
contig_53654	20033	No terminal repeats	17	11	0.8802	NA	0	0.1878	NA	NA
contig_132809	5884	No terminal repeats	6	11	0.8802	NA	0	0.0000	NA	NA
contig_647	4825	No terminal repeats	3	11	0.8801	NA	0	0.0000	NA	NA
contig_76151	5075	No terminal repeats	9	11	0.8801	NA	0	0.0000	NA	NA
contig_126033	8410	No terminal repeats	12	11	0.8801	NA	0	0.0000	NA	NA
contig_97570	4278	No terminal repeats	5	11	0.8801	NA	0	0.0000	NA	NA
contig_56714	10616	No terminal repeats	12	11	0.8801	NA	0	0.0000	NA	NA
contig_90845	5049	No terminal repeats	6	11	0.8800	NA	0	0.0000	NA	NA
contig_117644	8487	No terminal repeats	9	11	0.8800	NA	0	0.0000	NA	NA
contig_91227	6649	No terminal repeats	6	11	0.8800	NA	0	0.0000	NA	NA
contig_103381	9109	No terminal repeats	12	11	0.8799	NA	0	0.0000	NA	NA
contig_98778	9020	No terminal repeats	10	11	0.8798	NA	0	0.0000	NA	NA
contig_86724	8396	No terminal repeats	13	11	0.8798	NA	0	0.0000	NA	NA
contig_90810	5009	No terminal repeats	8	11	0.8798	NA	0	0.0000	NA	NA
contig_134478	10857	No terminal repeats	17	11	0.8797	NA	0	0.0000	NA	NA
contig_127859	12629	No terminal repeats	16	11	0.8797	NA	0	0.0000	NA	NA
contig_48997	7192	No terminal repeats	7	11	0.8797	NA	0	0.0000	NA	NA
contig_87145	5292	No terminal repeats	4	11	0.8796	NA	0	0.0000	NA	NA
contig_127997	11279	No terminal repeats	6	11	0.8796	NA	0	0.0000	NA	NA
contig_94475	33464	No terminal repeats	22	11	0.8796	NA	0	0.0000	NA	NA
contig_72929	2810	No terminal repeats	4	11	0.8795	NA	0	0.0000	NA	NA
contig_107830	5931	No terminal repeats	8	11	0.8795	NA	0	0.0000	NA	NA
contig_123938	14471	No terminal repeats	18	11	0.8794	NA	0	0.0000	NA	NA
contig_116161	15198	No terminal repeats	13	11	0.8794	NA	0	0.0000	NA	NA
contig_127482	14446	No terminal repeats	19	11	0.8794	NA	0	0.0000	NA	NA
contig_111233	5171	No terminal repeats	7	11	0.8794	NA	0	0.0000	NA	NA
contig_88615	10737	No terminal repeats	18	11	0.8793	NA	0	0.0000	NA	NA
contig_64318	14822	No terminal repeats	17	11	0.8793	NA	0	0.0000	NA	NA
contig_97963	10954	No terminal repeats	16	11	0.8793	NA	0	0.0000	NA	NA
contig_133140	5314	No terminal repeats	7	11	0.8793	NA	0	0.0000	NA	NA
contig_113904	46401	No terminal repeats	66	11	0.8792	NA	0	0.0000	NA	NA
contig_122532	8335	No terminal repeats	4	11	0.8792	NA	0	0.0000	NA	NA
contig_124697	13041	No terminal repeats	17	11	0.8792	NA	0	0.0000	NA	NA
contig_51816	5622	No terminal repeats	5	11	0.8792	NA	0	0.0000	NA	NA
contig_65182	5532	No terminal repeats	7	11	0.8792	NA	0	0.0000	NA	NA
contig_98748	4921	No terminal repeats	5	11	0.8791	NA	0	0.0000	NA	NA
contig_82963	10895	No terminal repeats	11	11	0.8791	NA	0	0.0000	NA	NA
contig_122716	7368	No terminal repeats	8	11	0.8791	NA	0	0.0000	NA	NA
contig_93896	2907	No terminal repeats	7	11	0.8790	NA	0	0.0000	NA	NA
contig_117756	10313	No terminal repeats	12	11	0.8790	NA	0	0.0000	NA	NA
contig_112847	3975	No terminal repeats	5	11	0.8790	NA	0	0.0000	NA	NA
contig_95602	5179	No terminal repeats	5	11	0.8790	NA	0	0.0000	NA	NA
contig_96943	11588	No terminal repeats	19	11	0.8788	NA	0	0.0000	NA	NA
contig_103084	3524	No terminal repeats	6	11	0.8788	NA	0	0.0000	NA	NA
contig_136853	8602	No terminal repeats	10	11	0.8788	NA	0	0.0000	NA	NA
contig_100099	7794	No terminal repeats	7	11	0.8788	NA	0	0.0000	NA	NA
contig_54870	5927	No terminal repeats	10	11	0.8788	NA	0	0.0000	NA	NA
contig_74782	12347	No terminal repeats	15	11	0.8788	NA	0	0.0000	NA	NA
contig_114546	5638	No terminal repeats	6	11	0.8788	NA	0	0.0000	NA	NA
contig_87311	5031	No terminal repeats	6	11	0.8787	NA	0	0.0000	NA	NA
contig_101465	4966	No terminal repeats	7	11	0.8787	NA	0	0.0000	NA	NA
contig_136530	6339	No terminal repeats	9	11	0.8787	NA	0	0.0000	NA	NA
contig_137092	8277	No terminal repeats	10	11	0.8786	NA	0	0.0000	NA	NA
contig_93499	6119	No terminal repeats	5	11	0.8786	NA	0	0.0000	NA	NA
contig_81532	12243	No terminal repeats	21	11	0.8785	NA	0	0.0000	NA	NA
contig_95701	6812	No terminal repeats	5	11	0.8785	NA	0	0.0000	NA	NA
contig_121913	5970	No terminal repeats	4	11	0.8785	NA	0	0.0000	NA	NA
contig_96131	16351	No terminal repeats	20	11	0.8784	NA	0	0.0000	NA	NA
contig_77022	4678	No terminal repeats	5	11	0.8783	NA	0	0.0000	NA	NA
contig_82680	6870	No terminal repeats	8	11	0.8783	NA	0	0.0000	NA	NA
