contig_id	contig_length	total_genes	viral_genes	host_genes	provirus	proviral_length	host_length	region_types	region_lengths	region_coords_bp	region_coords_genes	region_viral_genes	region_host_genes
contig_124592	3111	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124601	11285	15	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124609	2908	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124636	15327	36	11	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124658	13788	15	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124668	21287	48	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124672	18147	57	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124700	2961	6	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124715	16735	29	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124765	34139	44	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124774	15145	26	7	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124775	31093	53	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124788	23715	52	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124792	12259	4	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124796	31414	37	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124840	15843	27	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124842	28782	50	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124851	60161	105	29	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124865	5611	20	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124886	10482	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124898	11310	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124915	25821	59	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124934	13423	33	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124977	3238	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_124981	9369	18	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125012	3734	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125014	14805	24	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125028	10624	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125055	12886	31	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125057	8536	13	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125067	16286	40	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125068	15115	34	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125095	13581	21	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125110	20204	43	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125124	18469	42	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125140	10980	30	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125150	6719	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125153	12056	25	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125162	14462	26	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125163	21148	36	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125172	3903	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125186	6631	15	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125211	3620	10	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125216	8943	19	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125230	20062	31	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125236	16160	34	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125255	6574	12	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125273	13362	21	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_12529	4084	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125301	13776	20	10	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125320	10239	21	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125333	16373	40	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_12534	2946	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125369	16765	31	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125370	14493	37	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125394	8162	16	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125409	7711	17	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125410	13039	25	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125460	9967	15	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125463	15770	30	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125471	11552	19	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125481	15384	33	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125499	4669	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125533	32580	60	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125536	5481	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125545	30930	56	31	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125551	14402	28	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125553	17158	32	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125599	15496	23	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125605	2502	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125613	15908	29	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125636	12200	26	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125665	7427	16	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125668	2974	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125671	18509	32	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125676	9357	22	2	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125685	13371	26	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125686	6366	11	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125688	3265	15	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125699	12453	21	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125701	13220	37	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125702	4243	12	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125705	16961	24	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125706	5188	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125736	12677	34	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125779	8745	12	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125783	10900	23	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125791	21090	26	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125796	8707	16	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125819	20906	48	2	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125822	9329	21	2	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125848	3033	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125850	10669	13	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125858	4793	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125869	28436	52	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125877	31449	54	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125901	13724	33	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125905	14828	36	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125908	9097	25	11	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125920	2811	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125932	5389	9	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125945	160922	289	84	10	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125953	10436	25	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125956	36548	75	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125961	10141	28	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125969	18578	30	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125977	7584	23	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125989	11979	15	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_125998	6555	19	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126026	5189	8	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126028	13447	14	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126032	25843	55	5	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126088	11151	23	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126095	8766	20	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126101	5756	9	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126126	33002	65	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126136	14115	26	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126150	9428	21	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126152	8731	24	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126191	20151	40	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126197	8944	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126221	4218	8	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126229	17331	35	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126250	9248	23	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126266	9874	20	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126278	14728	30	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126288	16092	29	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126300	20464	43	10	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126312	3112	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126319	14663	6	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126331	14340	22	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126333	18563	46	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126342	4319	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126343	6815	5	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126350	27583	60	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126367	21459	40	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126372	9893	12	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126381	10772	12	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126385	10773	23	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126408	3141	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126416	16086	39	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126424	575	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126448	3824	11	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126472	2547	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126476	2563	8	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126482	24677	51	21	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126493	8103	16	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126501	35324	53	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126512	7017	8	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126516	14472	34	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126518	24583	62	22	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126525	11282	18	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126527	38432	64	8	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126539	7497	16	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126554	12641	33	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126574	16724	27	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126591	3276	9	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126602	30045	55	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126612	13048	34	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126615	3225	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126629	11365	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126652	16443	27	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126653	9960	19	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126655	8284	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126694	9835	22	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126697	21880	41	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126702	29035	58	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126703	10257	10	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126713	14535	27	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126738	3566	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126758	7489	16	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126778	8565	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126783	19419	33	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126786	10871	25	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126817	11901	26	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126826	12292	19	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126830	13472	28	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126832	23279	29	6	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126837	32579	62	16	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_12684	3653	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126855	25914	50	17	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126859	7629	17	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126865	12367	26	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126870	42469	84	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126900	18366	35	4	3	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126901	32829	54	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126935	9536	22	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126959	13885	18	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126960	7212	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_126987	23452	46	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127015	5664	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127027	26811	49	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127043	6900	13	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127049	3767	10	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127056	4664	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127061	4730	4	0	3	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127088	3591	1	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127107	19343	33	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127127	18470	34	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127128	14579	29	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127134	26671	46	0	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127168	6488	13	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127191	5615	13	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127203	22441	24	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127206	11227	28	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127217	17199	36	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127236	6970	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127239	23035	39	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127287	6012	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127291	18323	27	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127340	11297	17	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127343	8179	16	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127353	13084	20	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127369	9333	18	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127387	5825	11	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127395	16525	43	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127397	7105	14	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127407	24510	50	14	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127423	2888	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127445	6930	6	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127450	2564	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127494	12441	26	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127544	6161	8	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127547	9333	24	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127552	6638	15	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127570	4638	8	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127575	10922	22	3	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127622	7455	15	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127629	16592	32	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127643	46137	112	2	4	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127647	30575	52	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127669	16374	33	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127672	4137	11	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127674	21086	30	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127691	8135	21	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127719	5780	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127734	4568	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127747	4765	9	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127771	15488	15	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127777	6464	11	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127779	36209	49	19	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127809	9512	13	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127828	5064	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127852	17562	37	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127861	7096	12	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127915	16670	23	12	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127934	3293	2	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127950	8270	13	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_127982	9082	14	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128012	15105	31	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128013	6487	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128028	4553	9	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128082	22632	27	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128115	3151	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128123	2390	4	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128166	2829	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128168	20282	40	14	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128182	10559	14	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128191	5134	16	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128233	3040	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128243	10441	22	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128248	17426	39	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128263	10312	24	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128265	9173	17	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128295	28661	46	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128430	3713	7	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_12855	3127	1	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_128971	18132	30	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_129289	10597	21	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_129325	6837	15	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_129955	3368	2	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_130105	7073	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_130467	2588	3	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_130763	16291	16	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_130791	8654	14	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_130906	4980	7	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131014	10547	20	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131264	4513	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_13134	5904	4	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131372	7063	9	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131393	3106	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_13171	5304	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131800	13209	7	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131813	2964	2	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131825	5895	8	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131840	7491	5	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131842	3855	6	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131843	20368	37	15	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131844	72700	110	68	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131845	48289	84	32	2	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131863	18126	33	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131892	7472	12	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131893	10418	24	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131894	6121	15	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131950	17621	39	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131954	15969	9	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131956	12886	21	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131958	2823	4	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131962	16259	49	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131963	14875	30	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131964	2666	4	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131968	6825	9	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131969	24191	32	16	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131981	5919	4	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_131995	34307	33	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132006	9189	10	1	3	Yes	1053	8136	viral,host	1053,8136	1-1053,1054-9189	1-2,3-10	1,0	0,3
contig_132007	6075	8	1	2	Yes	1038	5037	viral,host	1038,5037	1-1038,1039-6075	1-2,3-8	1,0	0,2
contig_132043	7909	13	1	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132071	8279	18	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132119	18910	49	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132134	10265	14	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132188	41165	78	18	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132202	26904	44	9	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132204	9730	26	6	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132205	8154	15	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132207	6616	15	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132234	4226	8	5	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132239	4891	10	4	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132251	14290	14	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132252	14078	25	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132256	7136	20	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132257	15289	25	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132258	11105	19	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132265	22899	30	13	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132311	7401	18	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132312	17989	25	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132313	10428	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132314	3799	12	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132318	3250	6	0	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132347	14897	16	1	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132358	10141	24	4	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132360	36314	44	15	1	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132362	14472	24	2	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132374	8558	14	9	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132375	7526	13	7	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132376	16460	30	8	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132393	4109	6	0	0	No	NA	NA	NA	NA	NA	NA	NA	NA
contig_132397	3640	5	3	0	No	NA	NA	NA	NA	NA	NA	NA	NA
